sha256	role	storage	locator	notes
5aba4ef8615981b705025841960777424717f39b5eef6ec1fcc93cb1c595e889	daynight-atomic-trace	gdrive	1GDhY7yYBkg3QZJT6GaZ22Hz8LmdbFgdk	Unique target day/night transition capture.
65a96f60bf954c78dbf9c99ec7e46b4e3b1918ec7dd77fe7fcbde5ec48254d27	stock-rootfs-squashfs	gdrive	1bL5GS2PKPH59Cu6O1gBJARTXJIaVJVGC	Retained FH8626V100 stock rootfs image.
3f0c59ff54cba59c62a6bb971409f075a73e456c11684ea925b9df3b891fe1c8	stock-full-flash-mx25l6405d-8mib	gdrive	1A8Eeg5JcO7epvk6H8P-9w9-739xVomAt	Original 8 MiB FH8626V100 MX25L6405D full-flash dump; STOCK_RUNTIME primary bytes.
2fe6239db430a4b123ebfd438dee5c06ee2628bf7dc9b59fa3b75b3fbc15c191	isp-vmm-awb421-after-ccm	gdrive	1XYZC_56e5gXSG204exA_aHH-aFON7qL0	Unique VMM memory observation after CCM change.
d2d893ef081b69d5dc0205dac3576bfaca14fe0f576e985e60ae75e3749f49c2	isp-vmm-awb421-before	gdrive	1EoZAbYmQxF3TpCwnrEeHAb1Qnba7lBbE	Unique VMM memory observation before CCM change.
b18502058d4a59b6628c0a9c158437f0c90e26063d0916d009a6d76fa67ecb9e	isp-vmm-awb421-restored	gdrive	1qobf4Vr7eyTVZJYGEDbVL-LBAyNfTSm7	Unique VMM memory observation after restore.
48b221b6a681bf593dd211e4df1fab1c011f33c2b245b88e7f49d5cee2561040	isp-vmm-awb-live	gdrive	1E0N0FcWO6I6BQbgSghRTpT_g3N7Y7wP8	Unique live ISP/AWB VMM memory observation.
79898bd6b9d24013270c97cc762bcfc39ab5391f60720aee4a323fd0c8e4ff0c	isp-vmm-current-day	gdrive	1lGEp7lfdf2Ilj2tKQe_O5eJh6QdBc37i	Unique day-state ISP VMM memory observation.
c3122dc9f4c1c18eef42fe79df11586ddc602f190abc78333aae3ebe7e3dd1e4	isp-ae416-h264	gdrive	1W7A5ciDW16OmlRJuOBV6wMsuRuiY3FwQ	Target H.264 capture for AE=416 validation.
aa5812f0960dfeb221e07b9a88c36a146771ac4fb007d36c484d9492ce225ce2	isp-ae416-25fps-mp4	gdrive	1NdTIDxOrlo_E6poELiHPC63Nrh8t-GHs	Target MP4 capture for AE=416 validation.
00704bb9999f4f562a2e036e82163e8ed46f7dd2a99f63d01582f08a3d80b506	isp-ae832-h264	gdrive	1gOpWhBQ37vMJrYXjqPXeekDTrZ6Dgbof	Target H.264 capture for AE=832 validation.
b8e6cbc8a64ecf6a9313b4fd50f1f76fbc833e7e1cd6c5294f2e5d063d95b0c4	isp-ae832-25fps-mp4	gdrive	1eWA66GntWgmT1y7F_P24ztevXfrlFPKT	Target MP4 capture for AE=832 validation.
36c2d08f7e843f79c70a698254fde95b89e3e122955e5927f2ef4d39b8047385	isp-ae899-g256-h264	gdrive	1SJYBDtrgq5UelTakkC3f4s3MbDNp7Wzd	Target H.264 capture for AE=899 gain=256 validation.
